,proxy,https
0,47.56.110.204:8989,no
1,20.210.113.32:8123,no
2,159.223.57.23:5000,no
3,8.219.5.240:999,no
4,41.60.238.29:8080,no
5,20.206.106.192:80,no
6,20.24.43.214:80,no
7,103.49.202.252:80,no
8,103.127.1.130:80,no
9,167.71.5.83:8080,no
10,47.254.47.61:3128,no
11,103.141.142.1:41317,no
12,162.223.94.163:80,no
13,51.124.209.11:80,no
14,47.253.105.175:20002,no
15,50.221.74.130:80,no
16,20.111.54.16:8123,no
17,150.109.12.63:8999,yes
18,198.199.86.11:3128,no
19,47.252.20.42:8081,no
20,117.251.103.186:8080,yes
21,103.149.130.38:80,no
22,94.74.80.88:45554,no
23,159.203.61.169:3128,no
24,8.213.129.15:646,no
25,137.74.65.101:80,no
26,50.222.245.41:80,no
27,82.119.96.254:80,no
28,213.143.113.82:80,no
29,103.83.232.122:80,no
30,50.221.203.210:80,no
31,20.84.106.205:8214,yes
32,103.197.251.202:80,no
33,50.231.110.26:80,no
34,50.223.38.6:80,no
35,50.227.121.37:80,no
36,50.207.199.81:80,no
37,50.219.106.85:80,no
38,62.99.138.162:80,no
39,50.169.62.104:80,no
40,50.168.49.111:80,no
41,32.223.6.94:80,no
42,50.168.10.174:80,no
43,50.170.90.26:80,no
44,50.169.62.110:80,no
45,50.237.89.165:80,no
46,50.174.7.156:80,no
47,50.171.68.130:80,no
48,50.221.227.130:80,no
49,139.162.83.66:32539,yes
50,50.206.25.104:80,no
51,201.148.32.162:80,no
52,80.150.50.226:80,no
53,50.221.203.219:80,no
54,85.8.68.2:80,no
55,50.227.121.33:80,no
56,107.1.93.219:80,no
57,91.249.134.148:80,no
58,50.169.91.138:80,no
59,50.227.121.36:80,no
60,50.217.226.44:80,no
61,50.170.90.25:80,no
62,85.26.146.169:80,no
63,50.206.111.90:80,no
64,50.174.7.157:80,no
65,194.158.203.14:80,no
66,50.207.199.80:80,no
67,50.174.7.158:80,no
68,50.207.199.87:80,no
69,50.172.189.210:80,no
70,50.168.72.114:80,no
71,50.169.62.106:80,no
