,proxy,https
0,50.238.154.98:80,no
1,133.18.234.13:80,no
2,107.1.93.209:80,no
3,50.168.10.178:80,no
4,103.167.134.31:80,no
5,50.200.12.86:80,no
6,107.1.93.222:80,no
7,50.204.219.228:80,no
8,50.222.245.40:80,no
9,50.227.121.39:80,no
10,62.141.11.68:80,no
11,50.169.62.107:80,no
12,190.61.88.147:8080,yes
13,50.172.23.10:80,no
14,50.237.207.186:80,no
15,50.222.245.44:80,no
16,50.217.153.74:80,no
17,107.1.93.211:80,no
18,50.168.72.113:80,no
19,50.237.89.160:80,no
20,50.174.145.8:80,no
21,0.0.0.0:80,no
22,50.237.89.170:80,no
23,50.122.86.118:80,no
24,50.218.57.66:80,no
25,96.113.159.162:80,no
26,50.221.203.205:80,no
27,50.221.203.214:80,no
28,195.23.57.78:80,no
29,50.168.49.105:80,no
30,50.228.83.226:80,no
31,50.218.57.71:80,no
32,50.223.129.104:80,no
33,50.219.106.87:80,no
34,50.221.203.199:80,no
35,50.227.121.38:80,no
36,50.174.7.152:80,no
37,50.217.153.76:80,no
38,20.24.43.214:80,no
39,50.217.226.46:80,no
40,50.169.175.234:80,no
41,50.220.21.202:80,no
42,159.203.61.169:3128,no
43,50.200.12.80:80,no
44,50.168.10.169:80,no
45,50.169.62.111:80,no
46,50.217.153.75:80,no
47,50.239.72.16:80,no
48,50.223.129.110:80,no
49,50.221.203.218:80,no
50,50.221.203.222:80,no
51,186.121.235.222:8080,yes
52,32.223.6.94:80,no
53,212.145.210.146:80,no
54,50.227.121.35:80,no
55,50.171.2.12:80,no
56,50.171.32.224:80,no
57,50.172.189.204:80,no
58,50.174.7.153:80,no
59,50.169.62.104:80,no
60,59.124.240.22:3128,yes
61,50.228.141.102:80,no
62,50.171.2.13:80,no
63,50.221.203.198:80,no
64,50.217.226.42:80,no
65,50.200.12.83:80,no
66,50.218.57.65:80,no
67,50.223.38.98:80,no
68,50.171.32.225:80,no
69,107.1.93.214:80,no
70,50.168.10.171:80,no
71,50.170.90.24:80,no
72,96.113.158.126:80,no
73,107.1.93.212:80,no
74,50.173.140.151:80,no
75,50.235.240.86:80,no
76,94.130.232.43:80,no
77,50.207.199.84:80,no
78,50.174.7.159:80,no
79,50.204.219.231:80,no
80,50.223.129.108:80,no
81,50.217.226.41:80,no
82,50.171.2.14:80,no
83,107.1.93.220:80,no
84,50.220.168.134:80,no
85,50.221.203.223:80,no
86,50.228.141.97:80,no
87,190.103.177.131:80,no
88,50.171.32.222:80,no
89,50.175.31.247:80,no
90,194.158.203.14:80,no
91,50.228.141.99:80,no
92,154.201.61.63:3128,no
93,154.202.119.138:3128,no
94,154.202.97.132:3128,no
95,154.201.63.215:3128,no
96,154.202.127.188:3128,no
97,154.84.142.183:3128,no
98,154.202.111.165:3128,no
99,121.126.168.177:19975,no
100,124.198.122.48:21115,no
101,93.115.20.108:3129,no
102,193.31.126.119:8085,no
103,154.202.112.226:3128,no
104,147.78.183.79:8085,no
105,154.84.143.37:3128,no
106,154.83.11.84:3128,no
107,38.15.151.115:3128,no
108,154.202.116.206:3128,no
109,154.202.109.24:3128,no
110,154.201.63.11:3128,no
111,154.201.63.223:3128,no
112,184.174.27.172:6395,no
113,23.27.240.80:3128,no
114,45.10.164.108:8085,no
115,49.254.253.217:13076,no
116,212.119.45.188:8085,no
117,154.202.109.4:3128,no
118,154.202.109.174:3128,no
119,49.254.147.62:8143,no
120,154.202.121.220:3128,no
121,144.34.168.75:3128,no
122,154.202.108.11:3128,no
123,115.144.7.68:22889,no
124,154.201.62.205:3128,no
125,154.202.124.77:3128,no
126,173.211.30.113:6547,no
127,38.15.155.144:3128,no
128,23.129.253.156:6774,no
129,154.202.117.223:3128,no
130,50.168.163.176:80,no
131,121.126.72.8:17892,no
132,49.254.194.13:24796,no
133,203.109.17.108:13695,no
134,154.202.118.112:3128,no
135,121.126.64.71:28095,no
136,192.210.132.202:6172,no
137,181.177.111.47:12345,no
138,154.202.116.4:3128,no
139,115.144.207.4:26198,no
140,154.202.125.76:3128,no
141,217.145.227.13:8085,no
142,102.213.23.163:8080,no
143,137.59.4.24:5893,no
144,124.198.103.43:28312,no
145,121.126.64.67:28091,no
146,154.202.97.26:3128,no
147,154.202.96.243:3128,no
148,154.202.116.40:3128,no
149,154.202.119.178:3128,no
150,154.202.126.231:3128,no
151,154.202.120.35:3128,no
152,154.202.111.141:3128,no
153,38.15.152.226:3128,no
154,154.202.110.17:3128,no
155,154.202.117.199:3128,no
156,154.84.142.43:3128,no
157,154.202.116.90:3128,no
158,154.202.110.207:3128,no
159,183.78.156.114:15477,no
160,45.67.2.236:5810,no
161,154.83.8.243:3128,no
162,140.99.47.80:8071,no
163,154.84.142.159:3128,no
164,154.202.127.66:3128,no
165,49.254.113.43:17591,no
166,104.165.127.4:3128,no
167,85.239.37.146:8085,no
168,115.144.97.21:26900,no
169,49.254.218.58:21841,no
170,121.126.9.10:28198,no
171,45.132.187.94:8085,no
172,154.202.116.114:3128,no
173,38.15.151.130:3128,no
174,121.126.120.20:17704,no
175,154.84.142.31:3128,no
176,104.252.131.238:3128,no
177,80.179.140.189:80,no
178,154.202.118.240:3128,no
179,185.165.57.139:8080,no
180,104.165.169.134:3128,no
181,154.202.123.236:3128,no
182,154.202.127.126:3128,no
183,154.202.126.85:3128,no
184,154.202.117.115:3128,no
185,209.127.76.148:3128,no
186,45.80.104.165:8085,no
187,154.202.114.110:3128,no
188,23.230.167.14:3128,no
189,154.202.114.10:3128,no
190,38.15.151.233:3128,no
191,121.126.189.162:20851,no
192,194.50.243.114:3128,no
193,104.234.138.56:3128,no
194,125.7.154.191:25396,no
195,124.198.51.226:6948,no
196,154.202.122.179:3128,no
197,154.202.125.214:3128,no
198,154.202.96.217:3128,no
199,154.202.119.242:3128,no
200,154.84.143.233:3128,no
201,104.165.169.29:3128,no
202,121.126.203.227:20013,no
203,154.202.124.171:3128,no
204,38.15.151.30:3128,no
205,194.50.243.120:3128,no
206,154.202.97.148:3128,no
207,45.66.208.164:8085,no
208,154.202.97.28:3128,no
209,154.202.117.189:3128,no
210,190.58.248.86:80,no
211,50.168.72.115:80,no
212,50.221.230.186:80,no
213,51.178.47.12:80,no
214,50.168.163.181:80,no
215,41.207.187.178:80,no
216,154.202.119.246:3128,no
217,154.202.125.136:3128,no
218,38.170.173.161:7712,no
219,154.201.63.119:3128,no
220,50.217.226.44:80,no
221,50.204.233.30:80,no
222,50.221.166.2:80,no
223,58.234.116.197:8197,no
224,8.219.97.248:80,no
225,50.221.203.195:80,no
226,50.227.121.36:80,no
227,50.207.199.80:80,no
228,127.0.0.7:80,no
229,23.230.167.116:3128,no
230,50.219.106.81:80,no
231,154.202.111.137:3128,no
232,50.221.203.209:80,no
233,50.237.89.164:80,no
234,80.228.235.6:80,no
235,50.228.141.96:80,no
236,50.217.153.79:80,no
237,61.72.254.69:8061,no
238,154.201.61.85:3128,no
239,213.143.113.82:80,no
240,154.83.8.167:3128,no
241,154.202.119.23:3128,no
242,50.219.106.74:80,no
243,50.171.68.130:80,no
244,103.149.130.38:80,no
245,50.218.57.67:80,no
246,50.169.62.114:80,no
247,50.173.140.146:80,no
248,50.207.199.87:80,no
249,50.170.90.31:80,no
250,50.171.32.226:80,no
251,50.200.12.85:80,no
252,107.1.93.217:80,no
253,50.219.106.83:80,no
254,202.86.138.18:8080,yes
255,50.204.219.230:80,no
256,50.237.89.166:80,no
257,20.206.106.192:80,no
258,50.219.106.80:80,no
259,50.207.253.118:80,no
260,50.171.32.231:80,no
261,50.206.25.108:80,no
262,50.217.153.78:80,no
263,50.168.72.114:80,no
264,50.230.222.202:80,no
265,50.171.32.229:80,no
266,212.175.88.196:8080,yes
267,184.10.84.74:80,no
268,50.218.57.68:80,no
269,50.217.29.198:80,no
270,77.73.241.154:80,no
271,213.157.6.50:80,no
