,proxy,https
0,103.49.202.252:80,no
1,50.222.245.45:80,no
2,202.86.138.18:8080,yes
3,50.168.163.166:80,no
4,50.200.12.87:80,no
5,103.83.232.122:80,no
6,50.170.90.28:80,no
7,217.11.184.27:3128,yes
8,194.182.187.78:3128,no
9,50.171.2.10:80,no
10,50.168.10.173:80,no
11,50.206.25.107:80,no
12,213.33.2.28:80,no
13,198.199.86.11:3128,no
14,107.1.93.208:80,no
15,50.168.49.109:80,no
16,50.206.111.90:80,no
17,170.187.229.239:3128,no
18,50.227.121.39:80,no
19,50.173.140.138:80,no
20,50.239.72.16:80,no
21,50.217.226.40:80,no
22,50.227.121.36:80,no
23,107.1.93.216:80,no
24,50.200.12.81:80,no
25,50.219.106.85:80,no
26,190.61.88.147:8080,yes
27,50.174.7.162:80,no
28,50.217.226.45:80,no
29,50.227.121.33:80,no
30,50.206.25.105:80,no
31,50.204.219.226:80,no
32,47.88.3.19:8080,no
33,136.144.178.240:80,no
34,50.222.245.44:80,no
35,50.173.140.145:80,no
36,203.85.120.69:8080,no
37,107.1.93.213:80,no
38,159.203.61.169:3128,no
39,66.191.31.158:80,no
40,50.168.163.179:80,no
41,50.174.7.155:80,no
42,34.75.225.169:8080,no
43,50.168.163.176:80,no
44,134.209.29.120:8080,no
45,50.171.2.15:80,no
46,50.219.106.84:80,no
47,50.171.2.8:80,no
48,50.171.1.222:80,no
49,50.219.106.81:80,no
50,50.174.145.12:80,no
51,50.168.49.111:80,no
52,50.227.121.37:80,no
53,130.162.128.90:3128,no
54,82.180.163.163:80,no
55,188.166.56.246:80,no
56,50.222.245.46:80,no
57,50.168.49.107:80,no
58,24.158.29.166:80,no
59,50.169.91.138:80,no
60,146.59.14.159:80,no
61,107.1.93.221:80,no
62,41.186.44.106:3128,no
63,50.171.32.230:80,no
64,201.238.248.134:443,no
65,154.202.114.190:3128,no
66,213.33.126.130:80,no
67,36.64.162.194:8080,no
68,50.227.121.34:80,no
69,34.80.202.6:3128,yes
70,167.71.5.83:8080,no
71,185.178.47.135:80,no
72,107.1.93.215:80,no
73,103.152.112.145:80,no
74,23.27.240.91:3128,no
75,50.168.163.177:80,no
76,103.152.232.84:8080,no
77,104.165.127.46:3128,no
78,38.15.154.84:3128,no
79,23.230.42.99:3128,no
80,154.202.113.115:3128,no
81,34.101.245.121:80,yes
82,45.114.12.16:5084,no
83,45.114.12.15:5083,no
84,195.154.106.167:80,no
85,50.207.253.118:80,no
86,8.219.169.172:5555,no
87,64.137.126.78:6686,no
88,146.19.91.46:8085,no
89,64.137.90.95:5715,no
90,23.27.240.239:3128,no
91,93.103.130.130:8080,no
92,45.10.167.47:8085,no
93,64.137.90.107:5727,no
94,217.11.184.30:3128,yes
