,proxy,https
0,221.151.181.101:8000,no
1,200.105.215.22:33630,no
2,47.56.110.204:8989,no
3,146.59.202.70:80,no
4,162.223.94.164:80,no
5,123.30.154.171:7777,no
6,185.178.47.135:80,no
7,134.209.29.120:8080,no
8,66.94.99.30:443,yes
9,137.74.65.101:80,no
10,34.143.228.238:8080,no
11,104.248.90.212:80,no
12,8.212.131.161:8080,no
13,75.89.101.62:80,no
14,179.27.158.78:80,no
15,139.59.1.14:8080,no
16,209.79.65.132:8080,yes
17,34.101.245.121:80,no
18,49.0.253.51:9093,no
19,91.107.247.115:4000,no
20,103.127.1.130:80,no
21,198.49.68.80:80,no
22,51.124.209.11:80,no
23,103.176.108.1:1337,no
24,191.96.31.183:80,no
25,103.29.69.77:3128,no
26,116.203.28.43:80,no
27,103.141.142.1:41317,no
28,136.144.178.240:80,no
29,113.161.131.43:80,no
30,113.20.118.15:8081,no
31,64.225.8.118:10000,yes
32,103.155.217.1:41317,no
33,34.75.225.169:8080,no
34,47.243.242.70:3128,no
35,213.33.2.28:80,no
36,50.169.62.107:80,no
37,47.254.153.78:8060,no
38,198.199.86.11:3128,no
39,50.235.240.86:80,no
40,167.71.5.83:8080,no
41,178.33.3.163:8080,yes
42,103.83.232.122:80,no
43,47.88.29.108:8084,no
44,37.238.98.20:80,no
45,50.170.90.26:80,no
46,50.217.29.198:80,no
47,170.187.229.239:3128,no
48,50.227.121.32:80,no
49,75.89.101.60:80,no
50,50.200.12.87:80,no
51,103.168.53.1:41317,no
52,50.172.189.204:80,no
53,134.195.101.34:8080,no
54,159.203.61.169:3128,no
55,50.222.245.40:80,no
56,50.171.32.225:80,no
57,102.68.85.186:8080,no
58,46.47.197.210:3128,no
59,87.247.185.75:3128,yes
60,213.157.6.50:80,no
61,146.59.199.12:80,no
62,163.53.18.119:80,no
63,80.150.50.226:80,no
64,50.222.245.44:80,no
65,8.219.97.248:80,yes
66,50.228.141.100:80,no
67,50.206.25.106:80,no
68,213.33.126.130:80,no
69,50.207.199.84:80,no
70,50.217.153.75:80,no
71,50.219.106.83:80,no
72,144.49.99.215:8080,no
73,50.228.141.101:80,no
74,50.222.245.43:80,no
75,41.207.187.178:80,no
76,50.217.226.45:80,no
77,197.255.126.69:80,no
78,115.144.221.125:10761,no
79,20.24.43.214:80,no
80,50.228.141.103:80,no
81,50.218.57.66:80,no
82,50.207.199.87:80,no
83,50.228.141.97:80,no
84,103.77.60.14:80,no
85,50.168.72.113:80,no
86,50.204.219.231:80,no
87,50.217.226.40:80,no
88,190.61.88.147:8080,yes
89,64.225.8.115:9996,yes
90,117.251.103.186:8080,yes
91,20.206.106.192:80,no
92,112.217.162.5:3128,yes
93,133.18.234.13:80,no
94,50.168.10.171:80,no
95,50.206.111.91:80,no
96,50.207.199.85:80,no
97,50.238.154.98:80,no
98,50.217.226.46:80,no
99,50.122.86.118:80,no
100,50.206.25.105:80,no
101,50.169.175.234:80,no
102,50.227.121.33:80,no
103,213.171.44.134:3128,yes
104,107.1.93.217:80,no
105,195.201.226.34:4000,yes
106,50.173.140.148:80,no
107,50.217.153.74:80,no
108,50.171.32.222:80,no
109,77.73.241.154:80,no
110,50.168.10.168:80,no
