,proxy,https
0,50.174.7.152:80,no
1,50.239.72.16:80,no
2,50.169.62.107:80,no
3,50.221.203.194:80,no
4,50.206.25.106:80,no
5,62.141.11.68:80,no
6,50.200.12.80:80,no
7,124.198.122.48:21115,no
8,50.200.12.85:80,no
9,144.34.168.75:3128,no
10,154.202.112.226:3128,no
11,104.252.131.238:3128,no
12,115.144.207.4:26198,no
13,45.10.164.108:8085,no
14,154.202.116.4:3128,no
15,147.78.183.79:8085,no
16,154.84.143.37:3128,no
17,154.202.109.174:3128,no
18,23.230.167.14:3128,no
19,209.127.76.148:3128,no
20,154.202.117.199:3128,no
21,93.115.20.108:3129,no
22,154.202.114.110:3128,no
23,154.202.123.236:3128,no
24,154.202.97.26:3128,no
25,154.201.63.119:3128,no
26,50.221.230.186:80,no
27,23.230.167.116:3128,no
28,104.165.169.29:3128,no
29,38.15.151.233:3128,no
30,125.7.154.191:25396,no
31,154.201.61.85:3128,no
32,50.175.31.243:80,no
33,102.213.23.163:8080,no
34,85.239.37.146:8085,no
35,50.221.203.193:80,no
36,154.202.125.136:3128,no
37,61.72.254.69:8061,no
38,154.202.119.242:3128,no
39,121.126.72.8:17892,no
40,154.84.142.31:3128,no
41,104.234.143.229:3128,no
42,121.126.114.226:19948,no
43,154.84.142.159:3128,no
44,185.165.57.139:8080,no
45,121.126.189.162:20851,no
46,104.234.138.56:3128,no
47,154.202.118.240:3128,no
48,50.168.163.181:80,no
49,121.126.168.177:19975,no
50,50.228.141.96:80,no
51,49.254.218.58:21841,no
52,50.219.106.81:80,no
53,121.126.64.71:28095,no
54,50.171.32.231:80,no
55,121.126.64.67:28091,no
56,154.202.109.4:3128,no
57,154.202.97.28:3128,no
58,154.84.142.43:3128,no
59,154.202.116.114:3128,no
60,50.206.25.110:80,no
61,38.15.152.226:3128,no
62,38.15.152.76:3128,no
63,154.201.63.11:3128,no
64,38.15.155.144:3128,no
65,154.202.120.35:3128,no
66,45.39.72.25:3128,no
67,50.219.106.85:80,no
68,50.219.106.74:80,no
69,50.207.199.80:80,no
70,154.202.111.137:3128,no
71,50.228.141.98:80,no
72,49.254.194.13:24796,no
73,154.202.127.66:3128,no
74,154.202.117.59:3128,no
75,154.202.117.189:3128,no
76,154.202.122.179:3128,no
77,154.202.96.217:3128,no
78,50.207.199.87:80,no
79,50.218.57.68:80,no
80,190.58.248.86:80,no
81,50.227.121.36:80,no
82,58.234.116.197:8197,no
83,154.202.97.148:3128,no
84,103.149.130.38:80,no
85,154.201.63.223:3128,no
86,121.126.9.10:28198,no
87,154.202.127.126:3128,no
88,184.174.27.172:6395,no
89,50.219.106.83:80,no
90,154.202.125.214:3128,no
91,23.129.253.156:6774,no
92,104.165.169.134:3128,no
93,154.202.114.10:3128,no
94,121.126.203.227:20013,no
95,154.202.111.141:3128,no
96,154.202.114.202:3128,no
97,154.202.117.223:3128,no
98,80.179.140.189:80,no
99,23.95.183.89:3128,no
100,50.206.25.108:80,no
101,50.171.32.226:80,no
102,38.15.154.167:3128,no
103,154.202.96.243:3128,no
104,154.202.126.231:3128,no
105,154.202.116.206:3128,no
106,107.1.93.217:80,no
107,50.168.72.114:80,no
108,45.80.104.165:8085,no
109,154.83.11.84:3128,no
110,192.210.132.202:6172,no
111,50.217.29.198:80,no
112,50.204.233.30:80,no
113,217.145.227.13:8085,no
114,50.170.90.31:80,no
115,50.218.57.67:80,no
116,50.230.222.202:80,no
117,213.143.113.82:80,no
118,77.73.241.154:80,no
119,50.237.89.166:80,no
120,154.202.127.188:3128,no
121,50.168.163.183:80,no
122,137.59.4.24:5893,no
123,50.169.62.114:80,no
124,50.207.199.85:80,no
125,154.202.121.220:3128,no
126,50.237.89.164:80,no
127,45.66.208.164:8085,no
128,50.221.203.209:80,no
129,213.157.6.50:80,no
130,50.171.68.130:80,no
131,50.168.72.115:80,no
132,184.10.84.74:80,no
133,154.202.125.76:3128,no
134,203.109.17.108:13695,no
135,173.211.30.113:6547,no
136,82.119.96.254:80,no
137,121.126.120.20:17704,no
138,38.15.151.30:3128,no
139,212.175.88.196:8080,yes
140,49.254.147.62:8143,no
141,154.202.110.17:3128,no
142,50.227.121.34:80,no
143,154.202.119.23:3128,no
144,154.202.119.178:3128,no
145,20.206.106.192:80,no
146,115.144.7.68:22889,no
147,127.0.0.7:80,no
148,154.202.126.85:3128,no
149,50.218.57.69:80,no
150,50.204.219.230:80,no
151,154.202.117.115:3128,no
152,50.173.140.146:80,no
153,50.217.226.44:80,no
154,140.99.47.80:8071,no
155,154.83.8.167:3128,no
156,154.202.116.40:3128,no
157,181.177.111.47:12345,no
158,115.144.97.21:26900,no
159,202.86.138.18:8080,yes
160,50.221.166.2:80,no
161,194.50.243.114:3128,no
162,124.198.103.43:28312,no
163,154.202.109.24:3128,no
164,194.50.243.120:3128,no
165,154.202.110.207:3128,no
166,51.178.47.12:80,no
167,38.170.173.161:7712,no
168,8.219.97.248:80,no
169,154.202.116.90:3128,no
170,50.217.153.78:80,no
171,183.78.156.114:15477,no
