,proxy,https
0,154.83.8.57:3128,no
1,23.27.240.129:3128,no
2,103.152.112.145:80,no
3,154.202.117.245:3128,no
4,45.114.12.77:5145,no
5,154.202.111.209:3128,no
6,45.114.12.73:5141,no
7,154.202.125.144:3128,no
8,154.202.108.205:3128,no
9,91.107.247.138:4000,yes
10,208.110.81.34:17040,no
11,209.127.76.102:3128,no
12,103.78.9.198:10001,no
13,154.83.8.175:3128,no
14,23.27.240.239:3128,no
15,64.137.75.227:6147,no
16,154.202.117.88:3128,no
17,161.123.208.101:6345,no
18,154.202.113.229:3128,no
19,193.233.90.241:8085,no
20,154.202.113.115:3128,no
21,154.202.126.205:3128,no
22,64.137.75.67:5987,no
23,154.83.8.195:3128,no
24,154.202.123.226:3128,no
25,38.15.148.223:3128,no
26,74.208.177.198:80,no
27,154.84.142.171:3128,no
28,154.202.126.175:3128,no
29,154.202.127.62:3128,no
30,185.202.108.82:8085,no
31,154.202.107.232:3128,no
32,154.202.123.218:3128,no
33,161.123.209.243:6743,no
34,154.202.118.203:3128,no
35,223.205.75.17:3128,no
36,161.123.208.201:6445,no
37,88.218.65.92:8085,no
38,64.137.75.120:6040,no
39,64.137.75.239:6159,no
40,154.83.10.101:3128,no
41,64.137.75.181:6101,no
42,45.148.233.135:8085,no
43,64.137.126.90:6698,no
44,154.202.112.110:3128,no
45,45.114.12.15:5083,no
46,38.15.151.236:3128,no
47,64.137.90.95:5715,no
48,38.15.154.78:3128,no
49,154.202.118.55:3128,no
50,72.170.220.17:8080,no
51,45.114.12.177:5245,no
52,154.83.10.53:3128,no
53,154.202.125.24:3128,no
54,45.114.12.251:5319,no
55,154.83.11.120:3128,no
56,84.54.57.13:8085,no
57,64.137.75.240:6160,no
58,154.202.112.90:3128,no
59,45.114.12.174:5242,no
60,64.137.90.73:5693,no
61,64.137.126.232:6840,no
62,154.202.125.132:3128,no
63,154.202.114.192:3128,no
64,154.202.119.3:3128,no
65,64.137.90.107:5727,no
66,154.202.118.56:3128,no
67,185.14.194.32:8085,no
68,85.239.35.124:8085,no
69,64.137.75.100:6020,no
70,38.15.152.59:3128,no
71,154.202.117.83:3128,no
72,83.171.226.87:8085,no
73,154.202.127.152:3128,no
74,64.137.90.136:5756,no
75,185.102.113.220:8085,no
76,185.61.220.176:8085,no
77,217.145.226.139:8085,no
78,161.123.208.26:6270,no
79,154.202.124.207:3128,no
80,185.68.152.197:8085,no
81,45.114.12.217:5285,no
82,154.202.126.179:3128,no
83,185.88.36.138:8085,no
84,154.83.9.18:3128,no
85,154.202.119.47:3128,no
86,23.27.240.91:3128,no
87,154.202.111.205:3128,no
88,38.15.151.185:3128,no
89,64.137.75.188:6108,no
90,154.202.118.240:3128,no
91,45.39.72.32:3128,no
92,161.123.209.37:6537,no
93,154.202.124.113:3128,no
94,154.83.10.61:3128,no
95,154.202.116.32:3128,no
96,154.202.114.240:3128,no
97,147.78.180.224:8085,no
98,154.202.115.53:3128,no
99,23.230.42.99:3128,no
100,83.171.227.140:8085,no
101,154.83.9.162:3128,no
102,154.202.109.18:3128,no
103,104.165.127.46:3128,no
104,38.15.151.13:3128,no
105,154.202.127.20:3128,no
106,64.137.90.216:5836,no
107,104.234.138.25:3128,no
108,154.202.124.241:3128,no
109,104.165.127.79:3128,no
110,104.165.169.40:3128,no
111,38.15.150.114:3128,no
112,38.15.152.120:3128,no
