,proxy,https
0,202.86.138.18:8080,yes
1,50.168.10.173:80,no
2,50.204.219.226:80,no
3,50.222.245.45:80,no
4,50.168.163.176:80,no
5,213.33.2.28:80,no
6,50.239.72.16:80,no
7,103.49.202.252:80,no
8,194.182.187.78:3128,no
9,50.227.121.37:80,no
10,50.170.90.28:80,no
11,195.23.57.78:80,no
12,50.206.111.90:80,no
13,103.83.232.122:80,no
14,50.219.106.84:80,no
15,50.168.163.177:80,no
16,213.33.126.130:80,no
17,217.11.184.27:3128,yes
18,50.206.25.105:80,no
19,50.200.12.81:80,no
20,50.206.25.104:80,no
21,50.217.226.45:80,no
22,50.174.7.162:80,no
23,107.1.93.216:80,no
24,50.168.49.107:80,no
25,50.219.106.81:80,no
26,50.169.135.10:80,no
27,134.209.29.120:8080,no
28,107.1.93.208:80,no
29,50.227.121.39:80,no
30,50.204.219.228:80,no
31,159.203.61.169:3128,no
32,50.173.140.145:80,no
33,47.88.3.19:8080,no
34,198.199.86.11:3128,no
35,50.168.49.111:80,no
36,190.61.88.147:8080,yes
37,82.180.163.163:80,no
38,107.1.93.213:80,no
39,50.174.7.155:80,no
40,50.169.91.138:80,no
41,203.85.120.69:8080,no
42,50.168.10.168:80,no
43,50.168.10.178:80,no
44,50.171.32.230:80,no
45,34.101.245.121:80,yes
46,50.206.25.107:80,no
47,50.222.245.46:80,no
48,136.144.178.240:80,no
49,130.162.128.90:3128,no
50,87.247.185.75:3128,yes
51,50.171.2.10:80,no
52,50.200.12.84:80,no
53,41.186.44.106:3128,no
54,50.169.62.109:80,no
55,107.1.93.221:80,no
56,50.171.2.15:80,no
57,50.218.130.132:80,no
58,185.178.47.135:80,no
59,50.171.1.222:80,no
60,195.154.106.167:80,no
61,188.166.56.246:80,no
62,34.87.103.220:80,no
63,50.227.121.36:80,no
64,50.200.12.87:80,no
65,103.19.130.50:8080,no
66,107.1.93.215:80,no
67,147.182.180.242:80,no
68,36.64.162.194:8080,no
69,183.88.228.208:8080,no
70,8.219.169.172:5555,no
71,24.158.29.166:80,no
72,103.174.81.10:80,no
73,50.204.219.224:80,no
74,217.11.184.30:3128,yes
75,103.168.53.53:41367,no
76,50.217.226.40:80,no
77,93.103.130.130:8080,no
78,91.107.247.138:4000,yes
79,50.207.253.118:80,no
80,74.208.177.198:80,no
81,50.171.2.8:80,no
82,50.227.121.33:80,no
83,38.15.151.51:3128,no
84,64.137.90.95:5715,no
85,50.207.199.86:80,no
86,51.75.206.209:80,no
87,154.202.109.18:3128,no
88,146.19.44.15:8085,no
89,50.173.140.138:80,no
90,50.206.111.88:80,no
91,34.80.202.6:3128,yes
92,201.238.248.134:443,no
93,146.19.91.46:8085,no
94,50.222.245.44:80,no
95,38.15.151.117:3128,no
96,161.123.208.251:6495,no
97,208.110.81.34:17040,no
98,154.202.114.240:3128,no
99,154.202.124.171:3128,no
100,34.75.225.169:8080,no
101,64.137.90.219:5839,no
102,154.202.114.190:3128,no
103,45.114.12.15:5083,no
104,154.202.118.240:3128,no
105,23.27.240.239:3128,no
106,154.202.126.253:3128,no
107,154.202.113.115:3128,no
108,64.137.126.78:6686,no
109,104.165.127.46:3128,no
110,45.114.12.77:5145,no
111,213.171.44.134:3128,yes
112,72.170.220.17:8080,no
113,46.161.62.223:8085,no
114,64.137.75.227:6147,no
115,193.15.14.198:80,no
116,170.187.229.239:3128,no
117,154.83.9.18:3128,no
118,88.218.65.92:8085,no
119,50.227.121.34:80,no
120,45.114.12.16:5084,no
121,23.230.42.99:3128,no
122,161.123.208.108:6352,no
123,64.137.90.150:5770,no
124,154.202.124.207:3128,no
125,167.71.5.83:8080,no
126,64.137.126.127:6735,no
127,50.168.163.179:80,no
128,154.202.112.110:3128,no
129,38.15.154.84:3128,no
130,50.174.145.12:80,no
131,83.171.227.140:8085,no
132,64.137.90.107:5727,no
133,34.81.113.225:3128,yes
134,45.114.12.251:5319,no
135,103.152.232.84:8080,no
136,185.61.220.176:8085,no
137,161.123.208.126:6370,no
138,38.15.152.86:3128,no
139,185.102.113.220:8085,no
140,45.10.167.47:8085,no
141,50.168.163.166:80,no
142,38.15.152.14:3128,no
143,45.39.72.186:3128,no
144,45.114.12.38:5106,no
145,154.202.119.47:3128,no
146,104.165.127.79:3128,no
147,23.230.167.252:3128,no
148,104.165.169.40:3128,no
149,38.15.153.71:3128,no
150,104.252.131.98:3128,no
151,154.202.118.55:3128,no
152,23.230.42.221:3128,no
153,64.137.75.181:6101,no
154,83.142.53.253:8085,no
155,23.95.183.70:3128,no
156,38.15.151.13:3128,no
157,154.83.8.127:3128,no
158,88.218.66.171:8085,no
159,185.68.152.197:8085,no
160,23.95.183.46:3128,no
161,45.39.72.32:3128,no
162,185.57.237.32:4411,no
163,23.27.240.71:3128,no
164,45.114.12.62:5130,no
165,154.202.117.133:3128,no
166,64.137.75.149:6069,no
167,154.202.119.118:3128,no
168,64.137.75.188:6108,no
169,94.158.23.247:8085,no
170,154.83.11.104:3128,no
171,38.15.152.203:3128,no
172,193.233.90.241:8085,no
173,217.145.226.139:8085,no
174,46.245.77.53:3128,no
175,154.202.115.53:3128,no
176,45.114.12.102:5170,no
177,154.202.126.109:3128,no
178,38.15.155.3:3128,no
179,94.154.113.94:8085,no
180,154.83.8.239:3128,no
181,154.202.117.212:3128,no
182,154.202.114.194:3128,no
183,185.88.36.138:8085,no
184,154.202.116.158:3128,no
185,154.202.116.216:3128,no
186,154.202.112.116:3128,no
