,proxy,https
0,50.169.175.234:80,no
1,50.217.153.76:80,no
2,50.175.31.247:80,no
3,50.221.203.219:80,no
4,50.171.32.225:80,no
5,50.171.2.8:80,no
6,50.168.72.119:80,no
7,50.219.106.83:80,no
8,50.222.245.44:80,no
9,50.169.135.10:80,no
10,185.140.53.137:80,no
11,50.237.89.166:80,no
12,50.122.86.118:80,no
13,50.175.31.244:80,no
14,50.221.203.209:80,no
15,50.219.106.82:80,no
16,50.171.32.227:80,no
17,50.227.121.35:80,no
18,50.174.7.157:80,no
19,50.200.12.81:80,no
20,50.173.140.151:80,no
21,50.172.189.204:80,no
22,91.249.134.148:80,no
23,50.223.129.111:80,no
24,50.173.140.150:80,no
25,50.207.199.84:80,no
26,50.228.141.101:80,no
27,0.0.0.0:80,no
28,50.168.10.171:80,no
29,20.111.54.16:8123,no
30,50.168.210.226:80,no
31,20.24.43.214:80,no
32,50.221.203.217:80,no
33,50.217.153.73:80,no
34,191.101.80.124:80,no
35,50.217.226.45:80,no
36,50.217.226.46:80,no
37,50.168.10.174:80,no
38,50.222.245.43:80,no
39,50.171.2.13:80,no
40,102.68.85.186:8080,no
41,50.168.210.238:80,no
42,50.217.226.43:80,no
43,178.252.134.101:3128,yes
44,50.221.203.218:80,no
45,50.227.121.32:80,no
46,50.207.199.85:80,no
47,50.222.245.41:80,no
48,197.255.126.69:80,no
49,50.170.90.25:80,no
50,50.217.226.42:80,no
51,50.221.74.130:80,no
52,50.218.57.74:80,no
53,50.220.168.134:80,no
54,50.206.111.89:80,no
55,50.221.203.194:80,no
