,proxy,https
0,91.107.247.138:4000,yes
1,45.114.12.77:5145,no
2,154.202.123.226:3128,no
3,38.15.151.236:3128,no
4,154.202.111.209:3128,no
5,64.137.75.227:6147,no
6,154.202.117.245:3128,no
7,103.152.112.145:80,no
8,154.83.8.195:3128,no
9,64.137.75.67:5987,no
10,193.233.90.241:8085,no
11,154.202.112.110:3128,no
12,154.202.126.205:3128,no
13,23.27.240.129:3128,no
14,154.83.8.57:3128,no
15,154.202.126.175:3128,no
16,154.202.127.62:3128,no
17,154.202.113.115:3128,no
18,161.123.208.101:6345,no
19,45.114.12.73:5141,no
20,64.137.126.90:6698,no
21,185.88.36.138:8085,no
22,38.15.148.223:3128,no
23,103.78.9.198:10001,no
24,64.137.75.181:6101,no
25,154.84.142.171:3128,no
26,64.137.90.95:5715,no
27,154.202.127.20:3128,no
28,154.83.9.18:3128,no
29,154.202.118.55:3128,no
30,161.123.208.201:6445,no
31,185.202.108.82:8085,no
32,154.202.125.144:3128,no
33,88.218.65.92:8085,no
34,154.202.108.205:3128,no
35,154.83.8.175:3128,no
36,64.137.75.120:6040,no
37,64.137.75.239:6159,no
38,154.83.10.101:3128,no
39,154.83.11.120:3128,no
40,64.137.90.73:5693,no
41,209.127.76.102:3128,no
42,64.137.90.107:5727,no
43,23.27.240.239:3128,no
44,45.148.233.135:8085,no
45,38.15.152.59:3128,no
46,154.202.123.218:3128,no
47,154.83.10.53:3128,no
48,64.137.90.194:5814,no
49,223.205.75.17:3128,no
50,72.170.220.17:8080,no
51,154.202.119.47:3128,no
52,154.202.124.113:3128,no
53,154.202.127.152:3128,no
54,208.110.81.34:17040,no
55,38.15.154.78:3128,no
56,85.239.35.124:8085,no
57,45.114.12.102:5170,no
58,45.114.12.177:5245,no
59,45.114.12.217:5285,no
60,154.202.125.34:3128,no
61,154.202.114.240:3128,no
62,154.202.113.229:3128,no
63,161.123.209.243:6743,no
64,154.202.117.88:3128,no
65,154.202.126.179:3128,no
66,104.234.138.25:3128,no
67,64.137.90.136:5756,no
68,64.137.75.240:6160,no
69,38.15.151.185:3128,no
70,45.114.12.174:5242,no
71,154.202.114.192:3128,no
72,154.83.8.187:3128,no
73,185.68.155.52:8085,no
74,84.54.57.13:8085,no
75,154.202.118.240:3128,no
76,185.14.194.32:8085,no
77,154.202.125.132:3128,no
78,217.145.226.139:8085,no
79,83.171.226.87:8085,no
80,154.83.8.215:3128,no
81,45.114.12.15:5083,no
82,154.202.111.205:3128,no
83,185.61.220.176:8085,no
84,185.68.152.197:8085,no
85,23.27.240.91:3128,no
86,154.202.124.207:3128,no
87,45.114.12.251:5319,no
88,94.154.113.94:8085,no
89,154.202.112.90:3128,no
90,154.202.116.32:3128,no
91,104.165.169.40:3128,no
92,147.78.180.224:8085,no
93,154.202.125.22:3128,no
94,154.202.118.203:3128,no
95,154.202.124.241:3128,no
96,83.171.227.140:8085,no
97,103.141.142.153:41413,no
98,154.202.119.3:3128,no
99,38.15.151.13:3128,no
100,185.102.113.220:8085,no
101,161.123.209.37:6537,no
102,212.18.127.150:8085,no
103,104.165.127.46:3128,no
104,154.202.119.66:3128,no
105,104.165.127.79:3128,no
106,154.202.114.116:3128,no
107,45.39.72.32:3128,no
108,64.137.126.232:6840,no
109,64.137.75.188:6108,no
110,38.15.151.51:3128,no
111,154.202.112.116:3128,no
112,154.202.125.24:3128,no
113,154.202.107.232:3128,no
114,64.137.90.216:5836,no
115,154.202.118.56:3128,no
116,23.230.42.221:3128,no
117,38.15.152.86:3128,no
118,38.15.150.114:3128,no
119,154.202.97.226:3128,no
120,161.123.208.26:6270,no
121,45.114.12.165:5233,no
122,154.83.10.61:3128,no
123,161.123.208.96:6340,no
124,23.230.42.99:3128,no
125,154.202.115.107:3128,no
126,154.202.125.190:3128,no
127,64.137.90.150:5770,no
128,23.95.183.46:3128,no
129,154.202.109.18:3128,no
130,64.137.126.78:6686,no
131,154.202.126.93:3128,no
132,154.202.117.133:3128,no
133,154.202.118.151:3128,no
134,154.202.116.232:3128,no
