,proxy,https
223,50.168.72.116:80,no
224,50.171.32.231:80,no
225,50.218.57.70:80,no
226,50.237.89.163:80,no
227,50.170.90.31:80,no
228,50.237.89.164:80,no
229,103.152.112.234:80,no
230,96.113.159.162:80,no
231,186.121.235.222:8080,yes
232,50.223.129.106:80,no
233,50.200.12.85:80,no
234,133.18.234.13:80,no
235,50.219.106.81:80,no
236,91.244.66.174:80,no
237,96.113.158.126:80,no
238,50.174.145.15:80,no
239,50.122.86.118:80,no
240,50.204.219.226:80,no
241,50.206.25.106:80,no
242,50.168.49.109:80,no
243,50.207.199.82:80,no
244,203.128.95.74:8080,no
245,107.1.93.208:80,no
246,190.119.68.140:999,no
247,50.168.72.118:80,no
248,50.239.72.19:80,no
249,68.188.59.198:80,no
250,94.130.232.43:80,no
251,50.219.106.84:80,no
252,200.106.124.200:999,no
253,50.221.203.205:80,no
254,50.174.7.162:80,no
255,116.203.28.43:80,no
256,50.173.157.76:80,no
257,50.169.62.114:80,no
258,50.171.32.228:80,no
259,50.221.203.208:80,no
260,107.1.93.220:80,no
261,50.204.190.234:80,no
262,212.107.31.118:80,no
263,50.169.62.109:80,no
264,50.223.129.104:80,no
265,50.239.72.17:80,no
266,50.219.106.83:80,no
267,136.243.55.199:3128,no
268,50.169.37.50:80,no
269,50.228.141.96:80,no
270,157.245.27.9:3128,yes
271,50.171.2.12:80,no
272,50.171.1.222:80,no
273,107.1.93.218:80,no
274,50.174.7.152:80,no
275,213.33.126.130:80,no
276,50.221.203.216:80,no
277,50.231.104.58:80,no
278,135.181.53.229:80,no
279,50.221.203.212:80,no
280,50.168.163.166:80,no
281,50.171.32.230:80,no
282,61.9.34.46:1337,no
283,50.231.167.218:80,no
284,102.164.252.145:8080,no
285,202.182.55.44:8080,no
286,110.78.141.156:8080,no
287,23.27.240.63:3128,no
288,103.118.46.105:32650,no
289,45.39.72.103:3128,no
290,198.44.191.9:45787,no
291,38.15.151.241:3128,no
292,38.15.152.212:3128,no
293,38.15.151.93:3128,no
294,13.230.73.53:80,no
295,13.234.209.87:80,no
296,104.165.127.222:3128,no
297,104.252.131.61:3128,no
298,38.15.153.98:3128,no
