,proxy,https
0,159.203.120.97:9998,no
1,50.217.226.43:80,no
2,41.230.216.70:80,no
3,50.223.129.109:80,no
4,50.171.32.231:80,no
5,50.200.12.85:80,no
6,50.171.32.226:80,no
7,41.207.187.178:80,no
8,140.84.178.114:3128,yes
9,50.218.57.69:80,no
10,50.217.226.46:80,no
11,50.217.153.72:80,no
12,107.1.93.214:80,no
13,20.44.206.138:80,yes
14,50.217.226.47:80,no
15,50.174.7.158:80,no
16,107.1.93.222:80,no
17,50.168.163.180:80,no
18,50.168.49.106:80,no
19,50.227.121.38:80,no
20,50.238.154.98:80,no
21,50.219.106.80:80,no
22,50.217.153.79:80,no
23,46.246.84.12:8118,no
24,50.217.153.74:80,no
25,213.143.113.82:80,no
26,178.252.134.101:3128,no
27,50.237.89.161:80,no
28,213.157.6.50:80,no
29,103.83.232.122:80,no
30,50.223.129.110:80,no
31,50.219.106.82:80,no
32,50.223.129.104:80,no
33,50.168.163.178:80,no
34,50.237.89.166:80,no
35,50.204.219.230:80,no
36,50.168.34.138:80,no
37,50.230.222.202:80,no
38,80.95.10.208:8082,no
39,50.168.210.238:80,no
40,49.156.58.15:80,no
41,200.106.124.176:999,no
42,41.254.53.70:1981,no
43,50.175.31.247:80,no
44,52.64.242.107:5050,no
45,20.24.43.214:80,no
46,50.228.141.102:80,no
47,50.218.57.65:80,no
48,50.168.72.114:80,no
49,114.37.164.53:80,no
50,194.158.203.14:80,no
51,50.219.106.83:80,no
52,50.122.86.118:80,no
53,50.169.62.104:80,no
54,50.171.32.229:80,no
55,50.170.90.24:80,no
56,50.207.199.84:80,no
57,207.2.120.58:80,no
58,103.78.97.38:8080,no
59,50.170.90.31:80,no
60,50.228.141.96:80,no
61,87.202.166.250:3128,no
62,59.124.240.22:3128,yes
63,50.237.89.160:80,no
64,50.207.199.80:80,no
65,103.148.232.87:3128,no
66,82.119.96.254:80,no
67,107.1.93.223:80,no
68,87.97.93.26:8080,no
69,50.173.140.146:80,no
70,50.223.38.98:80,no
71,181.129.74.58:40667,no
72,50.206.111.89:80,no
73,50.223.129.111:80,no
74,50.174.7.152:80,no
75,50.168.49.108:80,no
76,50.204.219.228:80,no
77,50.227.121.35:80,no
78,50.168.72.117:80,no
79,107.1.93.209:80,no
80,50.223.129.108:80,no
81,50.200.12.86:80,no
82,50.200.12.80:80,no
83,50.171.32.224:80,no
84,50.218.57.74:80,no
85,50.219.106.87:80,no
86,103.169.254.165:8090,no
87,50.239.72.18:80,no
88,50.221.203.199:80,no
89,50.173.140.151:80,no
90,8.219.97.248:80,yes
91,50.223.129.106:80,no
92,186.121.235.222:8080,yes
93,212.145.210.146:80,no
94,50.221.203.214:80,no
95,50.204.219.231:80,no
96,50.218.57.71:80,no
97,50.222.245.41:80,no
98,93.185.166.2:3128,no
99,50.168.10.171:80,no
100,50.221.203.217:80,no
101,79.103.98.221:8080,no
102,54.255.219.94:8443,no
103,103.162.16.81:4995,no
104,107.1.93.211:80,no
105,50.173.140.147:80,no
106,96.113.158.126:80,no
107,68.185.57.66:80,no
108,154.201.62.205:3128,no
109,20.206.106.192:80,no
110,50.221.203.223:80,no
111,50.221.203.198:80,no
112,190.58.248.86:80,no
113,131.255.137.201:32650,no
114,45.10.164.108:8085,no
115,193.31.126.119:8085,no
